Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency,InstrumentedLatency,GPUPower,GPUVoltage,GPUFrequency,GPUTemperature,GPUUtilization,3D/ComputeUtilization,MediaUtilization,GPUMemoryPower,GPUMemoryVoltage,GPUMemoryFrequency,GPUMemoryEffectiveFrequency,GPUMemoryTemperature,GPUMemorySize,GPUMemorySizeUsed,GPUMemoryMaxBandwidth,GPUMemoryReadBandwidth,GPUMemoryWriteBandwidth,GPUFanSpeed[0],GPUFanSpeed[1],GPUFanSpeed[2],GPUFanSpeed[3],GPUPowerLimited,GPUTemperatureLimited,GPUCurrentLimited,GPUVoltageLimited,GPUUtilizationLimited,GPUMemoryPowerLimited,GPUMemoryTemperatureLimited,GPUMemoryCurrentLimited,GPUMemoryVoltageLimited,GPUMemoryUtilizationLimited,CPUUtilization,CPUPower,CPUTemperature,CPUFrequency
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0,6.3510,6.2767,0.0743,3.8348,6.2671,4.3275,1.9396,10.2396,4.0125,-2.3237,7062.4899,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.006351,3.9596,2.8829,1.0767,3.7509,4.0111,4.0111,0.0000,7.9011,3.9232,2.3385,7068.8409,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.01031,4.0415,2.3219,1.7196,3.8024,3.9325,3.9325,0.0000,7.8647,4.2746,0.0364,7072.8005,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.01435,3.8952,2.0969,1.7983,3.6934,4.2807,4.2776,0.0031,8.0978,5.2406,-0.2331,7076.8420,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.01825,5.7605,5.6633,0.0972,4.0789,5.2209,4.1744,1.0465,9.4432,3.9200,-1.3454,7080.7372,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.02401,3.7664,2.6150,1.1514,3.5393,3.9318,3.9318,0.0000,7.6027,4.1854,1.8405,7086.4977,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.02777,3.9065,2.6089,1.2976,3.7047,4.1722,4.1653,0.0069,8.0217,6.7957,-0.4190,7090.2641,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.03168,7.1387,7.0608,0.0779,3.9704,6.7947,4.0641,2.7306,10.9109,4.1940,-2.8892,7094.1706,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.03882,3.8564,2.9400,0.9164,3.6264,4.1995,4.1995,0.0000,7.9662,5.4067,2.9447,7101.3093,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.04268,4.1930,2.3865,1.8065,3.9695,3.8968,3.8918,0.0050,9.5165,4.9403,-1.5503,7105.1657,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
cs2.exe,11364,0x1E5CB226D40,DXGI,0,512,1,Hardware Composed: Independent Flip,Application,0.04687,5.8736,5.8003,0.0733,3.6733,5.8884,4.1739,1.7145,10.2638,3.3883,-0.7473,7109.3587,NA,NA,0.0000,140.1980,NA,1845.0000,75.0000,82.0000,NA,0.0000,NA,NA,7000.9800,NA,NA,8589934592,5786689536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0379,NA,NA,4920.9759
